Month,Range,Area,location,Latitude,Longitude,Date,Image,Chinkara,Indian Gaur,Indian Palm Civet,Leopard,Nilgai,Sambar Deer,Sloth Bear,Spotted deer,Wild Boar,Wild dog
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00256.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00257.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00258.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00259.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00260.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00261.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00261.JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00262.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00262.JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00263.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00263.JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00264.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00265.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00155 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00159 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00160 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00160 (3).JPG,0,0,0,0,1,1,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00162 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00163 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00164 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00164 (3).JPG,0,0,0,0,1,1,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00165 (2).JPG,0,0,0,0,0,1,0,0,0,0
